,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
2994,443bbda3-555f-4f95-869f-91461ce1a029,RANKED_SOLO_5x5,SILVER,III,gmI3wtwx0fHueUzxDN8KUwN4r9i3iv-mdnPTyOJEYwth1Hw,Orax,83,35,38,False,False,False,False,
2995,e640679f-6bbf-44cf-bac5-b49050d338e7,RANKED_SOLO_5x5,SILVER,III,i640Xj9aXySGC5Yqj3hhQ0nqfLaDG-xp1XYfT22w2kWuCVQ,TFT Kruszi,17,27,12,False,False,False,False,
2996,80a7c9e2-41ba-46f5-95c9-0cca07a395de,RANKED_SOLO_5x5,SILVER,III,dor0XhBI9s3DjW6-lzdrtgPRR_p9rMC6Si53AMDi7qsgQ8E,RollerToaster,44,33,41,False,False,False,False,
2997,4654a6ea-9738-44f3-9293-271be170c8ad,RANKED_SOLO_5x5,SILVER,III,2ZAd81Qnfuh71Oc7NVqbiathI2-WmisXnDkwEApjmOEsUpk,UtahSaint,56,7,13,False,False,False,False,
2998,1c7dbab5-d24a-415a-9efe-2d6cb6861b96,RANKED_SOLO_5x5,SILVER,III,8i5gcEWjbk3ZdUk8hPxz3UaiZUYaqx8v5PV7VLID2R_cwjc,Mograne,85,66,69,False,False,False,False,
2999,c7196f8a-968a-476d-900b-66bda1cf2a01,RANKED_SOLO_5x5,SILVER,III,SvSuW3iPBPb_lKtV82KSZlI0cyNuYf-h3S292Exlg603t0w,Sh3yla,0,2,13,False,False,False,False,
3000,daf39fa0-a811-40d6-a427-caad4d8bf36a,RANKED_SOLO_5x5,SILVER,III,9TzPlV29eARlsGixGTLMGpbR5MqdKFs4gUbWMiajdPuHixM,Crankee,22,27,23,False,False,False,False,
3001,41731db0-4929-403f-9ff8-bd2df0c93068,RANKED_SOLO_5x5,SILVER,III,F-DiliPaXhpaVf13zDQ5uWsHyhIRebeiQ-ouuwrp4cON2Nc,GhostSpecialist,53,61,57,False,False,False,False,
3002,10bf32c2-d9f1-4c53-919f-47b2fbde78e7,RANKED_SOLO_5x5,SILVER,III,NBRkvIDy18OcwWgT_97WtvprKY0qRWp5_nEhyBOBraGBJtE,DaRskSoUL,59,6,4,False,False,False,False,
3003,a05169c0-cd10-465a-a73d-4ba3aa4ef3ab,RANKED_SOLO_5x5,SILVER,III,xNzyKWFzPJXyFQ226Hn9kdW3rqHJjABevhf1E1De-Gw7VtY,orjedi,9,8,5,False,False,False,False,
3004,346f6bf0-9a87-4884-a58c-ffab916d2e7b,RANKED_SOLO_5x5,SILVER,III,gMD_kqU8WY1I7455um_CYejH0n30TBsMUwlQeVWMZKgMjQM,KAOS Taishou,100,49,50,False,False,False,False,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}"
3005,ca3e5d44-3744-4969-9561-696f0620e8b5,RANKED_SOLO_5x5,SILVER,III,fCYOkoP4eyaDlPcIigc5IsV9iLjTo4PC9-eUGQiVLZMct9Y,Pisachas,47,107,115,False,False,False,False,
3006,161ce523-dfeb-4abd-bd74-049696514001,RANKED_SOLO_5x5,SILVER,III,3nkuiYpNWkat3ktIaWLhrezMgsM_40AeHiZcii56N1rR55U,TFT SpiddeR,100,16,7,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
3007,d3d8ec11-bca1-43e7-9504-f7e9e7589489,RANKED_SOLO_5x5,SILVER,III,36kJPLu9_cKaon0X5GZ5w-yagJnKP0DMdXJAGR21W6fHYm4,Manaor22,77,11,13,False,False,False,False,
3008,749ff2c7-581e-401b-965c-db80539d7e54,RANKED_SOLO_5x5,SILVER,III,nuY6fMFScibepKNg0IGOMmf2PEQbVBOG3JhhIhRiYgyVvK0,Peerless Scarred,68,14,14,False,False,False,False,
3009,8721898f-215e-40ab-bca5-3927daf3654a,RANKED_SOLO_5x5,SILVER,III,Yd6sW6PnpNS7UmnK4Bdy6z7Gh2XmZrRyAUff8608yWC7qtc,AmethystRage,66,20,15,False,False,False,False,
